Ontology|curie|name|synonyms|integred_in_NIF
hbp_cell_ontology|HBP_CELL:0000049|Layer V untufted pyramidal cell|L5_UTPC|yes
hbp_cell_ontology|HBP_CELL:0000048|Layer V early bifurcating thick tufted pyramidal cell|L5_TTPC2|yes
hbp_cell_ontology|HBP_CELL:0000047|Layer VI bipolar pyramidal cell|L6_BPC|yes
hbp_cell_ontology|HBP_CELL:0000040|Late bifurcating thick tufted pyramidal cell|TTPC1|yes
hbp_cell_ontology|HBP_CELL:0000041|Untufted slender pyramidal cell|USPC|yes
hbp_cell_ontology|HBP_CELL:0000042|Inverted pyramidal cell|ITPC,IPC|yes
hbp_cell_ontology|HBP_CELL:0000149|Hippocampus CA3 pyramidal cell|CA3_PC|yes
hbp_cell_ontology|HBP_CELL:0000148|Neostriatum direct pathway spiny neuron|Striatal medium spiny neuron,MSNs|yes
hbp_cell_ontology|HBP_CELL:0000147|Hippocampus CA1 Schaffer collateral-associated cell|SP_SCA|yes
hbp_cell_ontology|HBP_CELL:0000146|Hippocampus CA1 IS-I neuron|SP_IS1|yes
hbp_cell_ontology|HBP_CELL:0000145|Hippocampus CA1 pyramidal cell|SP_PC|yes
hbp_cell_ontology|HBP_CELL:0000144|Hippocampus CA1 ivy neuron|SP_IVY|yes
hbp_cell_ontology|HBP_CELL:0000143|Hippocampus CA1 PV+ basket cell|SP_PVBC|yes
hbp_cell_ontology|HBP_CELL:0000142|Hippocampus CA1 CCK+ basket cell|SP_CCKBC|yes
hbp_cell_ontology|HBP_CELL:0000150|Hippocampus pyramidal cell|Hippocampal pyramidal neuron|yes
hbp_cell_ontology|HBP_CELL:0000033|Neuron classified based on location||yes
hbp_cell_ontology|HBP_CELL:0000032|Narrow pyramidal cell projecting to thalamus|NPC|yes
hbp_cell_ontology|HBP_CELL:0000099|Layer V bipolar cell|L5_BP|yes
hbp_cell_ontology|HBP_CELL:0000035|Tufted pyramidal cell towards layer IV|TPC_L4|yes
hbp_cell_ontology|HBP_CELL:0000098|Layer IV bipolar cell|L4_BP|yes
hbp_cell_ontology|HBP_CELL:0000034|Neuron classified base on regional projection||yes
