Ontology|curie|name|synonyms|integred_in_NIF
hbp_measurement_methods|HBP_MEM:0000078|Fei Mao dyes|FM dyes|yes
hbp_measurement_methods|HBP_MEM:0000077|Imaging synaptic transmission||yes
hbp_measurement_methods|HBP_MEM:0000076|Genetically encoded calcium indicators|GECIs|yes
hbp_measurement_methods|HBP_MEM:0000075|Ratiometric calcium indicator dyes||yes
hbp_measurement_methods|HBP_MEM:0000079|pH sensitive fluorescent proteins||yes
hbp_measurement_methods|HBP_MEM:0000080|Protein function visualization||yes
hbp_measurement_methods|HBP_MEM:0000081|Time-lapse imaging with reporter genes||yes
hbp_measurement_methods|HBP_MEM:0000084|Fluorescence recovery after photobleaching|FRAP|yes
hbp_measurement_methods|HBP_MEM:0000085|Photoactivation and photoconversion||yes
hbp_measurement_methods|HBP_MEM:0000082|Fluorescence resonance energy transfer|Förster resonance energy transfer,FRET|yes
hbp_measurement_methods|HBP_MEM:0000083|Bimolecular fluorescence complementation|BiFC|yes
hbp_measurement_methods|HBP_MEM:0000065|Array tomography||yes
hbp_measurement_methods|HBP_MEM:0000064|Indirect immunohistochemistry|Indirect IHC|yes
hbp_measurement_methods|HBP_MEM:0000067|Neural activity visualization||yes
hbp_measurement_methods|HBP_MEM:0000066|Neural function visualization||yes
hbp_measurement_methods|HBP_MEM:0000069|Imaging voltage||yes
hbp_measurement_methods|HBP_MEM:0000068|Static markers of activity||yes
hbp_measurement_methods|HBP_MEM:0000070|Voltage-sensitive dye imaging|VSDI|yes
hbp_measurement_methods|HBP_MEM:0000071|Genetically encoded voltage indicators|GEVIs|yes
hbp_measurement_methods|HBP_MEM:0000072|Imaging calcium dynamics||yes
hbp_measurement_methods|HBP_MEM:0000073|Calcium indicator dyes||yes
hbp_measurement_methods|HBP_MEM:0000074|Nonratiometric calcium indicator dyes||yes
hbp_measurement_methods|HBP_MEM:0000099|Electron microscopy||yes
hbp_measurement_methods|HBP_MEM:0000098|Total internal reflection fluorescence microscopy|TIRF microscopy|yes
hbp_measurement_methods|HBP_MEM:0000097|Two-photon microscopy||yes
hbp_measurement_methods|HBP_MEM:0000199|Time-of-flight|TOF|yes
hbp_measurement_methods|HBP_MEM:0000198|Mass analyser||yes
hbp_measurement_methods|HBP_MEM:0000197|Chemical ionization|CI|yes
hbp_measurement_methods|HBP_MEM:0000196|Fast atom bombardment|FAB|yes
hbp_measurement_methods|HBP_MEM:0000204|Current clamp voltage recording||yes
hbp_measurement_methods|HBP_MEM:0000200|Quadrupole mass analyzer||yes
hbp_measurement_methods|HBP_MEM:0000201|Fourier transform ion cyclotron resonance mass analyzer|FTICR|yes
hbp_measurement_methods|HBP_MEM:0000202|Ion traps||yes
hbp_measurement_methods|HBP_MEM:0000203|Voltage clamp current recording||yes
hbp_measurement_methods|HBP_MEM:0000087|Cellular function in a fixed tissue||yes
hbp_measurement_methods|HBP_MEM:0000086|Neural activity in a fixed tissue||yes
hbp_measurement_methods|HBP_MEM:0000089|Light Microscopy||yes
hbp_measurement_methods|HBP_MEM:0000088|Microscopy||yes
hbp_measurement_methods|HBP_MEM:0000186|Hematoxylin||yes
hbp_measurement_methods|HBP_MEM:0000185|Propidium iodide stain||yes
hbp_measurement_methods|HBP_MEM:0000188|Cresyl violet||yes
hbp_measurement_methods|HBP_MEM:0000187|Thionine||yes
hbp_measurement_methods|HBP_MEM:0000189|Toluidine blue||yes
hbp_measurement_methods|HBP_MEM:0000190|Eosin Y||yes
hbp_measurement_methods|HBP_MEM:0000191|Methylene blue stain||yes
hbp_measurement_methods|HBP_MEM:0000192|Hoechst stain|Bis-benzamide stain|yes
hbp_measurement_methods|HBP_MEM:0000193|Biocytin stain||yes
hbp_measurement_methods|HBP_MEM:0000194|Neurobiotin stain||yes
hbp_measurement_methods|HBP_MEM:0000195|Ion sources||yes
hbp_measurement_methods|HBP_MEM:0000093|Differential interference contrast microscopy|Normarski microscopy,DIC microscopy|yes
hbp_measurement_methods|HBP_MEM:0000094|Fluorescence microscopy||yes
hbp_measurement_methods|HBP_MEM:0000095|Epifluorescent microscopy||yes
hbp_measurement_methods|HBP_MEM:0000096|Confocal microscopy||yes
hbp_measurement_methods|HBP_MEM:0000090|Brightfield microscopy||yes
hbp_measurement_methods|HBP_MEM:0000091|Phase-contrast microscopy||yes
hbp_measurement_methods|HBP_MEM:0000092|Darkfield microscopy||yes
hbp_measurement_methods|HBP_MEM:0000030|Neural structure visualization||yes
hbp_measurement_methods|HBP_MEM:0000173|Open field test||yes
hbp_measurement_methods|HBP_MEM:0000172|Homecage activity||yes
hbp_measurement_methods|HBP_MEM:0000171|Running wheel||yes
hbp_measurement_methods|HBP_MEM:0000170|Olfactory assays||yes
hbp_measurement_methods|HBP_MEM:0000165|Von Frey assay||yes
hbp_measurement_methods|HBP_MEM:0000166|Formalin assay||yes
hbp_measurement_methods|HBP_MEM:0000163|Hargreaves assay||yes
hbp_measurement_methods|HBP_MEM:0000164|Hot plate assay||yes
hbp_measurement_methods|HBP_MEM:0000169|Taste assays||yes
hbp_measurement_methods|HBP_MEM:0000028|Inside-out patch||yes
hbp_measurement_methods|HBP_MEM:0000167|Visual cliff assay||yes
hbp_measurement_methods|HBP_MEM:0000029|Cell-attached patch||yes
hbp_measurement_methods|HBP_MEM:0000168|Startle response||yes
hbp_measurement_methods|HBP_MEM:0000026|Outside-out patch||yes
hbp_measurement_methods|HBP_MEM:0000027|Whole-cell recording||yes
hbp_measurement_methods|HBP_MEM:0000024|Loose patch||yes
hbp_measurement_methods|HBP_MEM:0000025|Perforated patch||yes
hbp_measurement_methods|HBP_MEM:0000022|Voltage clamp current recording||yes
hbp_measurement_methods|HBP_MEM:0000023|Sharp electrode technique||yes
hbp_measurement_methods|HBP_MEM:0000020|Field potentials||yes
hbp_measurement_methods|HBP_MEM:0000021|Current clamp voltage recording||yes
hbp_measurement_methods|HBP_MEM:0000041|Phaseolus vulgaris- leucoagglutinin|PHA-L|yes
hbp_measurement_methods|HBP_MEM:0000040|Biotinylated dextran amine|BDA|yes
hbp_measurement_methods|HBP_MEM:0000180|Weil stain||yes
hbp_measurement_methods|HBP_MEM:0000182|Basophilic stain||yes
hbp_measurement_methods|HBP_MEM:0000181|Luxon fast blue|LFB|yes
hbp_measurement_methods|HBP_MEM:0000184|DAPI stain|4’,6-diamidino-2-phenylindole stain|yes
hbp_measurement_methods|HBP_MEM:0000183|Nissl stain||yes
hbp_measurement_methods|HBP_MEM:0000174|Rotarod test||yes
hbp_measurement_methods|HBP_MEM:0000175|Footprint pattern assay||yes
hbp_measurement_methods|HBP_MEM:0000176|Hanging wire assay||yes
hbp_measurement_methods|HBP_MEM:0000177|Vertical pole test||yes
hbp_measurement_methods|HBP_MEM:0000178|Diffusion tensor imaging|DTI|yes
hbp_measurement_methods|HBP_MEM:0000039|Anterograde tracers||yes
hbp_measurement_methods|HBP_MEM:0000179|Weigert stain||yes
hbp_measurement_methods|HBP_MEM:0000035|Golgi stain||yes
hbp_measurement_methods|HBP_MEM:0000036|Intracellular and juxtacellular labeling||yes
hbp_measurement_methods|HBP_MEM:0000037|Transsynaptic tracers||yes
hbp_measurement_methods|HBP_MEM:0000038|Retrograde tracers||yes
hbp_measurement_methods|HBP_MEM:0000031|Morphology visualization||yes
hbp_measurement_methods|HBP_MEM:0000032|Circuitry visualization||yes
hbp_measurement_methods|HBP_MEM:0000033|Cell body stains||yes
hbp_measurement_methods|HBP_MEM:0000034|Fiber stains||yes
hbp_measurement_methods|HBP_MEM:0000052|Herpes simplex virus|HSV|yes
hbp_measurement_methods|HBP_MEM:0000051|Pseudorabies virus|PRV|yes
hbp_measurement_methods|HBP_MEM:0000050|Tetanus toxin, fragment C|TTC|yes
hbp_measurement_methods|HBP_MEM:0000151|Conditioned place preference and aversion||yes
hbp_measurement_methods|HBP_MEM:0000150|Progressive ratio||yes
hbp_measurement_methods|HBP_MEM:0000147|Resident–intruder assay||yes
hbp_measurement_methods|HBP_MEM:0000148|Social approach/avoidance assay||yes
hbp_measurement_methods|HBP_MEM:0000145|Geller–Seifter conflict test||yes
hbp_measurement_methods|HBP_MEM:0000146|Marble burying test||yes
hbp_measurement_methods|HBP_MEM:0000143|Open field test||yes
hbp_measurement_methods|HBP_MEM:0000144|Elevated plus maze||yes
hbp_measurement_methods|HBP_MEM:0000141|Tail suspension test||yes
hbp_measurement_methods|HBP_MEM:0000142|Sucrose preference test||yes
